ID,TYPE,TITLE,DESCRIPTION,
1,s,திரை திறந்தால் வெறும் இடமா உலகிற்கே புரியாத சிதம்பர ரகசியம்,திரை திறந்தால் வெறும் இடம் ஆனா அதுல தான் உலகத்துக்கே புரியாத சிதம்பர ரகசியம் இருக்குது,63
2,s,யாக்கியம்மன் கோயில் 50 டிகிரி சூடான நீர் அதிர்ச்சி,ஒரு கோவிலில் தண்ணீர் குளிரா இல்ல 50°C வரை சூடா இருக்கும் னு சொன்னா நம்புவீங்களா,83
3,s,ஒருபோதும் சிக்காத பெருமாளின் முடி உண்மையா அல்லது மறைக்கப்பட்ட ரகசியமா,பெருமாளின் முடி ஒருபோதும் சிக்காதது அது உண்மையா அல்லது மறைக்கப்பட்ட ரகசியமா,71
4,s,ரெங்கமலை உண்மையா அல்லது மாயை,அது ஒரு சாதாரண மலைதானா அல்லது வேறொரு உலகத்துக்கான வாசலா,72
5,s,திருவைக்காவூர் வில்வநாயகன் இருண்ட கதைகள்,இந்த கோவிலுக்கு சூரியன் மறைந்த பிறகு போக கூடாதுன்னு ஏன் சொல்றாங்க,63
6,s,மதுரை மீனாட்சி கோவில் மர்மம் சில இரவுகளில் மட்டும் கேட்கும் அந்த சத்தம் யாருடையது,இந்த கோவிலில் சில இரவுகளில் மட்டும் கேட்கும் மர்ம ஒலி அது யாருடையது,83
7,s,திருப்பரங்குன்றம் குகையின் ரகசியம்,திருப்பரங்குன்றம் முருகன் கோவில் இந்த கோவில் குகைக்குள் கட்டப்பட்டது,71
8,s,உச்சிப்பிள்ளையார் மலை ரகசியம்,உச்சிப்பிள்ளையார் கோவில் இந்த மலைமேல் கோவில் கட்டணதுக்கு காரணம் என்ன,72
9,v,karuda puranam,மரணத்திற்குப் பிறகு ஆன்மாவின் பயணம் எமலோகம் நரகங்கள் மற்றும் சொர்க்கம் பற்றி விரிவாக விளக்குகிறது,63
10,v,அசோகன் மறைத்த 9 இரகசிய மனிதர்கள் இன்றும் உயிரோடு இருக்கிறார்களா,2000 ஆண்டுகளாக யாரும் கண்டுபிடிக்காத அசோகனின் இரகசிய சமூகம்,83
11,v,கைலாஷ் கோவிலின் மர்மம் 2 லட்சம் டன் கல் எங்கே மறைந்தது,மனிதர்களால் கட்ட முடியாத கோவில் 1200 ஆண்டுகளாக யாரும் விடை சொல்லவில்லை,71
12,v,பூம்புகார் கடலுக்கு அடியில் மூழ்கிய தமிழர் நகரம்,கடலுக்கு அடியில் 12000 ஆண்டுகள் தூங்கும் தமிழர் நகரம் இது வெறும் கதை இல்லை,73
